scientificName,Article,Article_secondary_same_data,Evidence_category,Evidence_effect,Evidence_method,Study_rodent_final,Exclude_row,Sample_size_greater_than_1,Predation_type,Sample_size_nests_monitored,Hypothesis_supported,Percent_nests_or_individuals_predated,Predator_and_prey_population_data,Experiment_control_site_or_spatial_variation,Note_experiment_sample_size,Experiment_confounding_variables_included,Experiment_BACI,Study_location,Latitude,Longitude,Island_name,Archipelago,Region,Country,Study_notes,Study_ID,Reported_study_rodent,Study_rodent_notes,key
Puffinus opisthomelas,"Velarde, E., Ruiz, E.A., Aguilar, A. and Gallo, J.P., 2015. Black-vented Shearwater Puffinus opisthomelas nesting in the Gulf of California: a major extension of breeding range. Marine Ornithology, 43, pp.249-254.",NA,Population,Abundance,Temporal,Mus musculus,,,NA,NA,1,,0,NA,NA,NA,NA,Isla Rasa,28.823599999999999,-112.98,rasa,Gulf of California (Midriff Islands),Pacific Ocean - North East,Mexico,"Between 2010 and 2014 we collected evidence of the presence of nesting BVSH on the island, such as increased frequency of calls heard at night, evidence of burrow activity, collection of an addled shearwater egg and photo images. For several years after the rodent eradication (1995), and even before that, BVSHs were seldom heard calling, although some individuals were sighted while boat cruises approached or left the island.",371,"Rattus rattus, Mus musculus",,Puffinus opisthomelas_Mus musculus
Puffinus yelkouan,"Ruffino, L., Bourgeois, K., Vidal, E., Duhem, C., Paracuellos, M., Escribano, F., Sposimo, P., Baccetti, N., Pascal, M. and Oro, D., 2009. Invasive rats and seabirds after 2,000 years of an unwanted coexistence on Mediterranean islands. Biological invasions, 11, pp.1631-1651.",NA,Population,Abundance,Spatial,Rattus rattus,,1,NA,NA,0,,1,1,292,1,0,Western Mediterranean Basin (coordinates from one of the sites),41.557899999999997,9.3253000000000004,corse,Corsican Islands,Mediterranean,France,"""Rat presence on islands was negatively related to storm petrel abundance, but did not influence either the presence or the abundance of the three shearwaters."" See Table 3 for bird presence and Table 4 for abundance",372,Rattus rattus,,Puffinus yelkouan_Rattus rattus
Puffinus yelkouan,"Bourgeois, K. and Vidal, E., 2008. The endemic Mediterranean yelkouan shearwater Puffinus yelkouan: distribution, threats and a plea for more data. Oryx, 42(2), pp.187-194.",NA,Predation,Predation,Predation,Rattus rattus,,,NA,NA,1,,0,NA,NA,NA,NA,Tavolara Island,40.906199999999998,9.7133000000000003,tavolara,Sardinian Islands,Mediterranean,Italy,"""Breeding success was zero because of ship rat predation on the Tavolara islands in 2006 and on Montecristo Island in some years (Italy, N. Baccetti, G. Spano & M. Putzu, pers. comm.).",373,Rattus rattus,,Puffinus yelkouan_Rattus rattus
Puffinus yelkouan,"Bourgeois, K. and Vidal, E., 2008. The endemic Mediterranean yelkouan shearwater Puffinus yelkouan: distribution, threats and a plea for more data. Oryx, 42(2), pp.187-194.",NA,Predation,Predation,Predation,Rattus rattus,,,NA,NA,1,,0,NA,NA,NA,NA,Montecristo,42.335700000000003,10.310499999999999,montecristo,Tuscan Islands,Mediterranean,Italy,"""Breeding success was zero because of ship rat predation on the Tavolara islands in 2006 and on Montecristo Island in some years (Italy, N. Baccetti, G. Spano & M. Putzu, pers. comm.).""",374,Rattus rattus,,Puffinus yelkouan_Rattus rattus
Puffinus yelkouan,"Bourgeois, K. and Vidal, E., 2008. The endemic Mediterranean yelkouan shearwater Puffinus yelkouan: distribution, threats and a plea for more data. Oryx, 42(2), pp.187-194.",NA,Predation,Predation,Predation,Rattus rattus,,,NA,NA,1,,0,NA,NA,NA,NA,Malta,35.9375,14.375400000000001,malta,Maltese Archipelago,Mediterranean,Malta,"""Rats are also the main cause of breeding failure in the largest Maltese colony (J.J. Borg, pers. comm.).",375,Rattus rattus,,Puffinus yelkouan_Rattus rattus
Puffinus yelkouan,"Bourgeois, K., Ouni, R., Pascal, M., Dromzée, S., Fourcy, D. and Abiadh, A., 2013. Dramatic increase in the Zembretta Yelkouan shearwater breeding population following ship rat eradication spurs interest in managing a 1500-year old invasion. Biological Invasions, 15, pp.475-482.",NA,Population,Abundance,Temporal,Rattus rattus,,0,NA,NA,1,,1,NA,1,0,0,Zembretta Island,37.106999999999999,10.8744,zembretta,Zembra Archipelago,Mediterranean,Tunisia,"""For 2 years before and 3 years after rat eradication, the Zembretta Yelkouan shearwater breeding colony was checked yearly at the end of the breeding season. The number of recorded breeding pairs reaching 176 and 145, respectively, increases of 10.4 and 8.5-fold two and 3 years after rat eradication.",376,Rattus rattus,,Puffinus yelkouan_Rattus rattus
Puffinus yelkouan,"Bourgeois, K., Ouni, R., Pascal, M., Dromzée, S., Fourcy, D. and Abiadh, A., 2013. Dramatic increase in the Zembretta Yelkouan shearwater breeding population following ship rat eradication spurs interest in managing a 1500-year old invasion. Biological Invasions, 15, pp.475-482.",NA,Population,Abundance,Timing,Rattus rattus,,,NA,NA,0,,0,NA,NA,NA,NA,Zembretta Island,37.106999999999999,10.8744,zembretta,Zembra Archipelago,Mediterranean,Tunisia,"""Vigne (1988; Supplementary material) found evidence that the ship rat invaded Zembra Island at least by 500 years AD.""",377,Rattus rattus,,Puffinus yelkouan_Rattus rattus
Puffinus yelkouan,"Bonnaud, E., Zarzoso‐Lacoste, D., Bourgeois, K., Ruffino, L., Legrand, J. and Vidal, E., 2010. Top‐predator control on islands boosts endemic prey but not mesopredator. Animal Conservation, 13(6), pp.556-567.",NA,Predation,Predation,Predation,Rattus rattus,,,NA,NA,0,,0,NA,NA,NA,NA,Port-Cros Island,43.003599999999999,6.3944000000000001,port-cros,Hyeres Islands,Mediterranean,France,"""Despite the significant increase in the frequency of visits of shearwater breeding cavities by rats, maybe due to the extent of rat home ranges following the high decrease of cat predation, no breeding failure could be attributed to rat predation (no rat teeth or claw marks were observed on eggs).""",378,Rattus rattus,,Puffinus yelkouan_Rattus rattus
Puffinus yelkouan,"Ruffino, L., Bourgeois, K., Vidal, E., Icard, J., Torre, F. and Legrand, J., 2008. Introduced predators and cavity-nesting seabirds: unexpected low level of interaction at breeding sites. Canadian Journal of Zoology, 86(9), pp.1068-1073.",NA,Predation,Predation,Predation,Rattus rattus,,,NA,25,0,0,0,NA,NA,NA,NA,Port-Cros Island,43.003599999999999,6.3944000000000001,port-cros,Hyeres Islands,Mediterranean,France,"""Very few rat visits were recorded at the shearwater-occupied cavities and no predation event was recorded. These intriguing results reveal a low level of interaction between introduced black rats and yelkouan shearwaters, which may have facilitated their long-term coexistence for thousands of years on some Mediterranean islands.""",379,Rattus rattus,,Puffinus yelkouan_Rattus rattus
Puffinus yelkouan,"Ruffino, L., Bourgeois, K., Vidal, E., Icard, J., Torre, F. and Legrand, J., 2008. Introduced predators and cavity-nesting seabirds: unexpected low level of interaction at breeding sites. Canadian Journal of Zoology, 86(9), pp.1068-1073.",NA,Population,Reproductive success,Temporal,Rattus rattus,,0,NA,NA,0,,1,0,1 site,0,0,Port-Cros Island,43.003599999999999,6.3944000000000001,port-cros,Hyeres Islands,Mediterranean,France,"""Very few rat visits were recorded at the shearwater-occupied cavities and no predation event was recorded. These intriguing results reveal a low level of interaction between introduced black rats and yelkouan shearwaters, which may have facilitated their long-term coexistence for thousands of years on some Mediterranean islands.""",380,Rattus rattus,,Puffinus yelkouan_Rattus rattus
Puffinus yelkouan,"Ruffino, L., Bourgeois, K., Vidal, E., Icard, J., Torre, F. and Legrand, J., 2008. Introduced predators and cavity-nesting seabirds: unexpected low level of interaction at breeding sites. Canadian Journal of Zoology, 86(9), pp.1068-1073.",NA,Population,Abundance,Timing,Rattus rattus,,,NA,NA,0,,0,NA,NA,NA,NA,Port-Cros Island,43.003599999999999,6.3944000000000001,port-cros,Hyeres Islands,Mediterranean,France,"""Very few rat visits were recorded at the shearwater-occupied cavities and no predation event was recorded. These intriguing results reveal a low level of interaction between introduced black rats and yelkouan shearwaters, which may have facilitated their long-term coexistence for thousands of years on some Mediterranean islands.""",381,Rattus rattus,,Puffinus yelkouan_Rattus rattus
Puffinus yelkouan,"Martin, J.L., Thibault, J.C. and Bretagnolle, V., 2000. Black rats, island characteristics, and colonial nesting birds in the Mediterranean: consequences of an ancient introduction. Conservation Biology, 14(5), pp.1452-1466.",NA,Population,Abundance,Spatial,Rattus rattus,,1,NA,NA,0,,1,1,15,1,0,Cabrera Islands,39.140700000000002,2.9451000000000001,Cabrera Gran,Balearic Islands (Cabrera Group),Mediterranean,Spain,"""We did not detect significant effects of rats on the Mediterranean Shearwater""",382,Rattus rattus,,Puffinus yelkouan_Rattus rattus
Ramphocinclus brachyurus,"Sass, E.M., Mortensen, J.L. and Reed, J.M., 2017. Habitat suitability models indicate the White-breasted Thrasher Ramphocinclus brachyurus occupies all suitable habitat in Saint Lucia. Bird Conservation International, 27(1), pp.96-110.",NA,Population,Abundance,Spatial,Rattus rattus,,1,NA,NA,0,,1,1,6667 pixels,1,0,Saint Lucia,13.9094,-60.978900000000003,saint lucia,Lesser Antilles (St. Lucia Islands),Caribbean,Saint Lucia,"Rats explain 1.9% of variation in bird habitat preference in one model (negative association), and does not appear in 2 other models. For sample size: Table S2, ""8 pixels (0.12%)""; for relationship Table 2 and Figure S4",386,Rattus rattus,,Ramphocinclus brachyurus_Rattus rattus
Rhynochetos jubatus,"Gula, R., Theuerkauf, J., Rouys, S. and Legault, A., 2010. An audio/video surveillance system for wildlife. European Journal of Wildlife Research, 56, pp.803-807.",NA,Predation,Predation,Predation,Rattus rattus,,,NA,24,0,0,0,NA,NA,NA,NA,New Caledonia,-22.139700000000001,166.7175,new caledonia,New Caledonia Islands,Pacific Ocean - South West,New Caledonia,Table 1 - zero predations recorded,389,Rattus rattus,,Rhynochetos jubatus_Rattus rattus
Rowettia goughensis,"Cuthbert, R. and Hilton, G., 2004. Introduced house mice Mus musculus: a significant predator of threatened and endemic birds on Gough Island, South Atlantic Ocean?. Biological Conservation, 117(5), pp.483-489.",NA,Predation,Predation,Predation,Mus musculus,,,"Eggs, chicks",21,1,86,0,NA,NA,NA,NA,Gough Island,-40.318600000000004,-9.9352999999999998,gough,Tristan da Cunha,Atlantic Ocean - South,Saint Helena,"""Two bunting nests were deserted during incubation and one nest appeared to have been predated, with small fragments of broken eggshell (indicative of rodent predation; Brown et al., 1998) scattered around the nest. Of the 12 nests in which chicks hatched, three were probably predated, with chicks disappearing from two nests (leaving no sign) and one dead 6-day-old chick being found at a nest (the other egg in this nest did not hatch). The chick appeared undamaged apart from a small round puncture wound (ca. 1 mm in diameter) located on the carpal joint of the wing, indicating predation by a small mammal, rather than a bird."" ""Of the 21 predated nests with eggs intact enough to examine for signs of predation, 18 (86%) had been predated by mice""",391,Mus musculus,,Rowettia goughensis_Mus musculus
Spheniscus humboldti,"Simeone, A. and Luna-Jorquera, G., 2012. Estimating rat predation on Humboldt Penguin colonies in north-central Chile. Journal of Ornithology, 153, pp.1079-1085.",NA,Predation,Predation,Predation,Rattus rattus,,,Eggs,NA,1,,0,NA,NA,NA,NA,Algarrobo Island,-33.350977100000001,-71.684996699999999,pájaro niño,Algarrobo,Pacific Ocean - South East,Chile,"""We investigated the effects of rat predation on Humboldt Penguins (Spheniscus humboldti) by simulating unattended clutches with domestic Chicken eggs. Experiments were independently set at two Humboldt Penguin colonies in north (Pa ́jaros Island, 29°S) and central Chile (Algarrobo Island, 33°S). At both colonies, eggs were primarily predated by rats (Rattus rattus = 70.8""",396,"Rattus rattus, Rattus norvegicus",,Spheniscus humboldti_Rattus rattus
Spheniscus humboldti,"Simeone, A. and Luna-Jorquera, G., 2012. Estimating rat predation on Humboldt Penguin colonies in north-central Chile. Journal of Ornithology, 153, pp.1079-1085.",NA,Predation,Predation,Predation,Rattus norvegicus,,,Eggs,NA,1,,0,NA,NA,NA,NA,Algarrobo Island,-33.350977100000001,-71.684996699999999,pájaro niño,Algarrobo,Pacific Ocean - South East,Chile,"""We investigated the effects of rat predation on Humboldt Penguins (Spheniscus humboldti) by simulating unattended clutches with domestic Chicken eggs. Experiments were independently set at two Humboldt Penguin colonies in north (Pa ́jaros Island, 29°S) and central Chile (Algarrobo Island, 33°S). At both colonies, eggs were primarily predated by rats (Rattus rattus = 70.8""",396,"Rattus rattus, Rattus norvegicus",,Spheniscus humboldti_Rattus norvegicus
Spheniscus humboldti,BirdLife International. 2020. Spheniscus humboldti. The IUCN Red List of Threatened Species 2020: e.T22697817A182714418. https://dx.doi.org/10.2305/IUCN.UK.2020-3.RLTS.T22697817A182714418.en. Accessed on 04 February 2024.,NA,Predation,Predation,Predation,Rattus rattus,,,Chicks,NA,1,,0,NA,NA,NA,NA,Punta San Juan,13.2059,-88.538399999999996,punta san juan,Jiquilisco Bay,Pacific Ocean - North East,El Salvador,"""Introduced rats (House Rat Rattus rattus and Brown Rat R. norvegicus) predate unattended eggs at several colonies in north and central Chile (Simeone and Luna-Jorquera 2012) and have also been recorded killing chicks in Punta San Juan, Peru (S. Cárdenas-Alayza pers. obs.).""",397,"Rattus rattus, Rattus norvegicus",,Spheniscus humboldti_Rattus rattus
Spheniscus humboldti,BirdLife International. 2020. Spheniscus humboldti. The IUCN Red List of Threatened Species 2020: e.T22697817A182714418. https://dx.doi.org/10.2305/IUCN.UK.2020-3.RLTS.T22697817A182714418.en. Accessed on 04 February 2024.,NA,Predation,Predation,Predation,Rattus norvegicus,,,Chicks,NA,1,,0,NA,NA,NA,NA,Punta San Juan,13.2059,-88.538399999999996,punta san juan,Jiquilisco Bay,Pacific Ocean - North East,El Salvador,"""Introduced rats (House Rat Rattus rattus and Brown Rat R. norvegicus) predate unattended eggs at several colonies in north and central Chile (Simeone and Luna-Jorquera 2012) and have also been recorded killing chicks in Punta San Juan, Peru (S. Cárdenas-Alayza pers. obs.).""",397,"Rattus rattus, Rattus norvegicus",,Spheniscus humboldti_Rattus norvegicus
Synthliboramphus scrippsi,"Newton, K.M., McKown, M., Wolf, C., Gellerman, H., Coonan, T., Richards, D., Harvey, A.L., Holmes, N., Howald, G., Faulkner, K. and Tershy, B.R., 2016. Response of native species 10 years after rat eradication on Anacapa Island, California. Journal of Fish and Wildlife Management, 7(1), pp.72-85.",NA,Population,Reproductive success,Spatiotemporal,Rattus rattus,,1,NA,NA,1,,1,1,2,0,1,Anacapa and Santa Barbara Islands,34.004399999999997,-119.39960000000001,anacapa,Channel Islands,Pacific Ocean - North East,United States,"""We found a significant difference between pre- and post-eradication time periods for two of the three variables examined: proportion of eggs hatched clutch-1 (t-test, t(3,1) = -3.2547, p = 0.0237) and rodent depredation rates on eggs (t(3,1) = 3.4301, p = 0.0208). While there was no significant difference in percent occupancy, 191% more Scripp’s murrelet eggs were hatching and 94% fewer nests were depredated on Anacapa Island post-eradication (Figure 2). These results indicate that, compared to the control island, there was a significant effect of the rat eradication on Scripps’s murrelet breeding.""",402,Rattus rattus,,Synthliboramphus scrippsi_Rattus rattus
Synthliboramphus scrippsi,"Whitworth, D.L., Carter, H.R. and Gress, F., 2013. Recovery of a threatened seabird after eradication of an introduced predator: Eight years of progress for Scripps’s murrelet at Anacapa Island, California. Biological Conservation, 162, pp.52-59.","Newton, K.M., McKown, M., Wolf, C., Gellerman, H., Coonan, T., Richards, D., Harvey, A.L., Holmes, N., Howald, G., Faulkner, K. and Tershy, B.R., 2016. Response of native species 10 years after rat eradication on Anacapa Island, California. Journal of Fish and Wildlife Management, 7(1), pp.72-85.; Whitworth, D.L., Carter, H.R., Young, R.J., Koepke, J.S., Gress, F. and Fangman, S., 2005. Initial recovery of Xantus's Murrelets following rat eradication on Anacapa Island, California. Marine Ornithology, 33, pp.131-137.; Whitworth, D.L. and Carter, H.R., 2018. Population trends for Scripps's Murrelet following eradication of black rats. The Journal of Wildlife Management, 82(1), pp.232-237.",Population,Reproductive success,Temporal,Rattus rattus,,0,NA,NA,1,,1,NA,1,0,0,Anacapa Island,34.004399999999997,-119.39960000000001,anacapa,Channel Islands,Pacific Ocean - North East,United States,"""Baseline (2001–2002) and post-eradication (2003–2010) monitoring in ten sea caves recorded a nearly 3-fold increase in hatching success (30% versus 85%), due mainly to a drastic reduction in egg predation."" ""Differences in the frequencies of nest fates were observed in the post- and pre-eradication periods (G = 20.06, df = 2, P < 0.001). Overall hatching success was 64%, but was much higher (Gc = 9.65, df = 1, P < 0.005) post-eradication (80%) than pre-eradication (42%). Post-eradication hatching success was consistently high (73%–83%; Table 1, Fig. 2); pre-eradication, it was quite variable (18%–78%). Note: rat eradication completed 2002, and pre-eradication data starts 2000/2001.",403,Rattus rattus,,Synthliboramphus scrippsi_Rattus rattus
Synthliboramphus scrippsi,"Whitworth, D.L., Carter, H.R. and Gress, F., 2013. Recovery of a threatened seabird after eradication of an introduced predator: Eight years of progress for Scripps’s murrelet at Anacapa Island, California. Biological Conservation, 162, pp.52-59.","Whitworth, D.L., Carter, H.R., Young, R.J., Koepke, J.S., Gress, F. and Fangman, S., 2005. Initial recovery of Xantus's Murrelets following rat eradication on Anacapa Island, California. Marine Ornithology, 33, pp.131-137.; Whitworth, D.L., Carter, H.R., Parker, M.W., Gress, F. and Booker, M., 2018. Long-term monitoring of Scripps's Murrelet and Guadalupe Murrelet at San Clemente Island, California: evaluation of baseline data in 2012–2016. Western North American Naturalist, 78(3), pp.457-473.; Whitworth, D.L., Carter, H.R., Dvorak, T.M., Farley, L.S. and King, J.L., 2014. Status, distribution, and conservation of Scripps's murrelet at Santa Catalina Island, California. Monographs of the Western North American Naturalist, 7(1), pp.321-338.",Predation,Predation,Predation,Rattus rattus,,,"Eggs, adults",8,1,88,0,NA,NA,NA,NA,Anacapa Island,34.004399999999997,-119.39960000000001,anacapa,Channel Islands,Pacific Ocean - North East,United States,"""Despite the difficult access to sea caves, rat-depredated eggs were recorded in seven of eight murrelet occupied caves before eradication.""",404,Rattus rattus,,Synthliboramphus scrippsi_Rattus rattus
Synthliboramphus scrippsi,"Murray, K.G., Winnett-Murray, K., Eppley, Z.A., Hunt Jr, G.L. and Schwartz, D.B., 1983. Breeding biology of the Xantus’ Murrelet. The Condor, 85(1), pp.12-21.",NA,Predation,Predation,Predation,Peromyscus maniculatus,,,"Eggs, chicks",470,1,44,0,NA,NA,NA,NA,Santa Barbara Island,33.4756,-119.0373,santa barbara,Channel Islands,Pacific Ocean - North East,United States,"From IUCN quote: ""Deer Mice Peromyscus maniculatus anacapae (native to nearby Cedros Island) have also been introduced to the San Benito Islands. Deer Mice depredated 46% of all monitored eggs on Santa Barbara (Murray et al. 1983), which is the largest known breeding site for the species (Howard et al. 2014). However, on Anacapa, Deer Mice were established long before the introduction of rats, precluding them from consideration as the cause of declines there (Jones et al. 2005).""",405,Peromyscus maniculatus,,Synthliboramphus scrippsi_Peromyscus maniculatus
Synthliboramphus wumizusume,BirdLife International. 2018. Synthliboramphus wumizusume. The IUCN Red List of Threatened Species 2018: e.T22694899A132580332. https://dx.doi.org/10.2305/IUCN.UK.2018-2.RLTS.T22694899A132580332.en. Accessed on 17 December 2023.,NA,Population,Abundance,Timing,Rattus norvegicus,,,NA,NA,1,,0,NA,NA,NA,NA,Koya-Jima (coordinates used for Kyushu),32.590000000000003,130.80000000000001,koya,Okinoshima Island,Pacific Ocean - North West,Japan,"""Brown rat Rattus norvegicus has been introduced to some nesting colonies and almost extirpated the population on Koya-Jima, before rats were been eradicated in 1987/198""",407,Rattus norvegicus,,Synthliboramphus wumizusume_Rattus norvegicus
Thalassarche chlororhynchos,"Cuthbert, R.J., Louw, H., Parker, G., Rexer-Huber, K. and Visser, P., 2013. Observations of mice predation on dark-mantled sooty albatross and Atlantic yellow-nosed albatross chicks at Gough Island. Antarctic Science, 25(6), pp.763-766.",NA,Predation,Predation,Predation,Mus musculus,,,Chicks,52,1,1.92,0,NA,NA,NA,NA,Gough Island,-40.318600000000004,-9.9352999999999998,gough,Tristan da Cunha,Atlantic Ocean - South,Saint Helena,"""Fig. 2. a. The carcass of an Atlantic yellow-nosed albatross chick with wounds on the belly and exposed viscera, and b. location of the mouse hole within the nest mound and entrance of the mouse hole at the base of the pedestal."" ""This predated chick was one of 52 hatched chicks in the long-term study colony where regular (more than twice weekly) checks were made in the 2009/10 season, suggesting mice preyed upon a minimum of 2% of chicks in this season.""",410,Mus musculus,,Thalassarche chlororhynchos_Mus musculus
Thalassarche chlororhynchos,"Jones, C.W., Risi, M.M., Cleeland, J. and Ryan, P.G., 2019. First evidence of mouse attacks on adult albatrosses and petrels breeding on sub-Antarctic Marion and Gough Islands. Polar Biology, 42, pp.619-623.",NA,Predation,Predation,Predation,Mus musculus,,,Adults,618,1,3.72,0,NA,NA,NA,NA,Gough Island,-40.318600000000004,-9.9352999999999998,gough,Tristan da Cunha,Atlantic Ocean - South,Saint Helena,"""During an incubation census of Atlantic Yellow-nosed Albatross Thalassarche chlororhynchos conducted from 18 to 26 October 2018 on Gough Island, an incubating individual was found on 19 October with a wound on the central back. The wound (~ 2 cm in diameter) had punctured the dermal layer and caused minor bleeding, but the adult bird was responsive and appeared unaffected. However, during the census, of 618 incubators counted in long-term census plots, a total of 23 freshly dead carcasses of Atlantic Yellownosed Albatrosses were found next to empty nests in nearby colonies to where the mouse wounded bird was found. The cause of death could not be determined and remains speculative.",411,Mus musculus,,Thalassarche chlororhynchos_Mus musculus
Thalassarche chlororhynchos,"Jones, C.W., Risi, M.M., Cleeland, J. and Ryan, P.G., 2019. First evidence of mouse attacks on adult albatrosses and petrels breeding on sub-Antarctic Marion and Gough Islands. Polar Biology, 42, pp.619-623.",NA,Population,Reproductive success,Timing,Mus musculus,,,NA,NA,0,,0,NA,NA,NA,NA,Gough Island,-40.318600000000004,-9.9352999999999998,gough,Tristan da Cunha,Atlantic Ocean - South,Saint Helena,"""Prior to 2017, there were no definite records of incubating or brooding adult seabirds on Marion or Gough Islands with wounds consistent with those inflicted by mice on albatross or petrel chicks."" *This species was defined Endangered in 2003 (IUCN Red List 2023)",412,Mus musculus,,Thalassarche chlororhynchos_Mus musculus
Thalassarche chrysostoma,"Dilley, B.J., Schoombie, S., Schoombie, J. and Ryan, P.G., 2016. ‘Scalping’of albatross fledglings by introduced mice spreads rapidly at Marion Island. Antarctic Science, 28(2), pp.73-80.",NA,Predation,Predation,Predation,Mus musculus,,,Chicks,2201,1,4.6,0,NA,NA,NA,NA,Marion Island,-46.912500000000001,37.743611000000001,marion,Prince Edward Islands,Indian Ocean - West,South Africa,"""In 2015, mice attacked large chicks of all three albatross species that fledge in autumn: grey-headed (Thalassarche chrysostoma Forster) (at least 102 wounded chicks; 4.6% of fledglings), sooty (n = 45, 4.3%) and light-mantled albatross (P. palpebrata Forster) (n = 1, 4%). Filming at night confirmed that mice were responsible for wounds.""",413,Mus musculus,,Thalassarche chrysostoma_Mus musculus
Thalassarche chrysostoma,"Jones, M.G.W. and Ryan, P.G., 2010. Evidence of mouse attacks on albatross chicks on sub-Antarctic Marion Island. Antarctic Science, 22(1), pp.39-42.",NA,Predation,Predation,Predation,Mus musculus,,,NA,NA,0,,0,NA,NA,NA,NA,Marion Island,-46.912500000000001,37.743611000000001,marion,Prince Edward Islands,Indian Ocean - West,South Africa,"""There has been no evidence of mouse attacks on greyheaded albatross or northern giant petrel chicks, either in the study colonies or from incidental observations.""",414,Mus musculus,,Thalassarche chrysostoma_Mus musculus
Thalasseus elegans,"Brooke, M.D.L., Bonnaud, E., Dilley, B.J., Flint, E.N., Holmes, N.D., Jones, H.P., Provost, P., Rocamora, G., Ryan, P.G., Surman, C. and Buxton, R.T., 2018. Seabird population changes following mammal eradications on islands. Animal Conservation, 21(1), pp.3-12.",NA,Population,Abundance,Temporal,Rattus rattus,,1,NA,NA,1,,1,0,181 populations,1,0,Isla Rasa,28.823599999999999,-112.98,rasa,Gulf of California (Midriff Islands),Pacific Ocean - North East,Mexico,"Supplementary file provides ""lambda"" values relative to rat eradications. The lambda value is >1 (population growth). The data is unpublished and raw data is not provided.",416,"Rattus rattus, Mus musculus",,Thalasseus elegans_Rattus rattus
Thalasseus elegans,"Brooke, M.D.L., Bonnaud, E., Dilley, B.J., Flint, E.N., Holmes, N.D., Jones, H.P., Provost, P., Rocamora, G., Ryan, P.G., Surman, C. and Buxton, R.T., 2018. Seabird population changes following mammal eradications on islands. Animal Conservation, 21(1), pp.3-12.",NA,Population,Abundance,Temporal,Mus musculus,,1,NA,NA,1,,1,0,181 populations,1,0,Isla Rasa,28.823599999999999,-112.98,rasa,Gulf of California (Midriff Islands),Pacific Ocean - North East,Mexico,"Supplementary file provides ""lambda"" values relative to rat eradications. The lambda value is >1 (population growth). The data is unpublished and raw data is not provided.",416,"Rattus rattus, Mus musculus",,Thalasseus elegans_Mus musculus
Vini peruviana,"Seitre, J., 1992. Causes of land-bird extinctions in French Polynesia. Oryx, 26(4), pp.215-222.",NA,Population,Abundance,Spatial,Rattus rattus,,1,NA,NA,1,,1,1,8,1,0,French Polynesia,-17.6797,-149.4068,tahiti nue,Society Islands,Pacific Ocean - South East,French Polynesia,Table 2,430,Rattus rattus,,Vini peruviana_Rattus rattus
Vini ultramarina,"Doukas, T. and Ziembicki, M., 2022. Conservation status and biology of the Ultramarine Lorikeet Vini ultramarina in the Marquesas Islands, French Polynesia. Bird Conservation International, 32(1), pp.111-126.",NA,Population,Abundance,Timing,Rattus rattus,,,NA,NA,1,,0,NA,NA,NA,NA,Fatu Hiva,-10.490500000000001,-138.6489,fatu hiva,Marquesas,Pacific Ocean - South East,French Polynesia,"""the decline of the Ultramarine Lorikeet from Nuku Hiva and Ua Pou, and from Fatu Hiva to where it was previously translocated (Kuehler et al. 1997), coincides with the introduction of the black rat Rattus rattus""",431,Rattus rattus,,Vini ultramarina_Rattus rattus
Vini ultramarina,"Doukas, T. and Ziembicki, M., 2022. Conservation status and biology of the Ultramarine Lorikeet Vini ultramarina in the Marquesas Islands, French Polynesia. Bird Conservation International, 32(1), pp.111-126.",NA,Population,Abundance,Spatial,Rattus rattus,,,NA,NA,1,,0,NA,NA,NA,NA,Fatu Hiva,-10.490500000000001,-138.6489,fatu hiva,Marquesas,Pacific Ocean - South East,French Polynesia,"""The only remaining robust population of Ultramarine Lorikeets was confined to the small, rat-free island of Ua Huka with approximate estimates of between 1,000 and 1,500 individuals in 1991""",432,Rattus rattus,,Vini ultramarina_Rattus rattus
Vini ultramarina,"Seitre, J., 1992. Causes of land-bird extinctions in French Polynesia. Oryx, 26(4), pp.215-222.",NA,Population,Abundance,Spatial,Rattus rattus,,1,NA,NA,1,,1,1,3,0,0,French Polynesia,-17.6797,-149.4068,tahiti nue,Society Islands,Pacific Ocean - South East,French Polynesia,Table 2,433,Rattus rattus,,Vini ultramarina_Rattus rattus
Xenicus gilviventris,"Weston, K.A., O'Donnell, C.F., van dam‐Bates, P. and Monks, J.M., 2018. Control of invasive predators improves breeding success of an endangered alpine passerine. Ibis, 160(4), pp.892-899.",NA,Predation,Predation,Predation,Mus musculus,,,"Eggs, chicks",140,1,2.86,0,NA,NA,NA,NA,"Mount Aspiring National Park, Fiordland National Park",-45.408499999999997,167.35910000000001,south,Lake Manapouri,Pacific Ocean - South West,New Zealand,"""Of the 146 nests monitored, the outcome (success or fail) was confirmed for 140 nests....House Mice (4 of 36 nests, 11% [of predations])...Mice gnawed and cracked open eggs in the nest, leaving behind broken eggshell, and preyed upon nestlings, leaving gnaw marks and fatal wounds.""",434,Mus musculus,,Xenicus gilviventris_Mus musculus
